name,address,city,zipcode,winery_type,tasting_room,tasting_room_hours, ava
DEUX AMIS WINERY,602 LIMERICK LN,HEALDSBURG,95448,Production Only,NONE,,Russian River Valley
WINDSOR OAKS VINEYARDS & WINERY,10810 HILLVIEW RD,WINDSOR,95492,Production/Tasting Room/Events,PUBLIC,11AM-5PM,Chalk Hill
FOPPIANO WINERY,12707 OLD REDWOOD HWY,HEALDSBURG,95448,Production/Tasting Room,PUBLIC,,Russian River Valley
MERRIAM VINEYARDS,11654 LOS AMIGOS RD,HEALDSBURG,95448,Production/Tasting Room,PUBLIC,10AM-5PM,Russian River Valley
ACORN WINERY,12040 OLD REDWOOD HWY,HEALDSBURG,95448,Production/Tasting Room/Events,APPT ONLY,10AM-5PM,Russian River Valley
DOMAINE ST GEORGE WINERY,1141 GRANT AVE,HEALDSBURG,95448,Production Only,NONE,,Russian River Valley
SWEETWATER LAND & CATTLE CO LTD PTP,10540 LOS AMIGOS RD,HEALDSBURG,95448,Production/Tasting Room/Events,PUBLIC,10AM-4:30PM,Chalk Hill
SAN LORENZO WINERY,3220 PASSALACQUA RD,HEALDSBURG,95448,Production Only,NONE,,Alexander Valley
STUHLMULLER VINEYARDS,4951 W SODA ROCK LN,HEALDSBURG,95448,Production/Tasting Room/Events,PUBLIC,10AM-4:30PM,Alexander Valley
MACPHAIL FAMILY WINES,851 MAGNOLIA DR,HEALDSBURG,95448,Production/Tasting Room,APPT ONLY,8AM-5PM,Dry Creek Valley
ALDERBROOK/GEYSER PEAK WINERY,2306 MAGNOLIA DR,HEALDSBURG,95448,Production/Tasting Room,PUBLIC,10AM-5PM,Dry Creek Valley
WILSON WINERY,1960 DRY CREEK RD,HEALDSBURG,95448,Production/Tasting Room,PUBLIC,10AM-6PM,Dry Creek Valley
32 WINDS WINERY,1010 DRY CREEK RD,HEALDSBURG,95448,Production/Tasting Room,APPT ONLY,10AM-6PM MO-SA,Dry Creek Valley
WEST WINES,1000 DRY CREEK RD,HEALDSBURG,95448,Production/Tasting Room/Events,APPT ONLY,10AM-4PM,Dry Creek Valley
DU CHAMP WINERY,280 CHIQUITA RD,HEALDSBURG,95448,Production/Tasting Room,PUBLIC,11AM-4PM,Dry Creek Valley
KISTLER LLC,493 W NORTH ST,HEALDSBURG,95448,Production Only,NONE,,Dry Creek Valley
